"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jun 03 20:54:42 GMT 2024","Mon Jun 03 20:54:42 GMT 2024","69","API Suite","API Test","com.example.teamcity.api.CreateProjectTest","com.example.teamcity.api.CreateProjectTest","shouldNotCreateProjectWithEmptyId","shouldNotCreateProjectWithEmptyId",""
"broken","Mon Jun 03 20:54:45 GMT 2024","Mon Jun 03 20:54:45 GMT 2024","43","API Suite","API Test","com.example.teamcity.api.CreateBuildConfigurationTest","com.example.teamcity.api.CreateBuildConfigurationTest","shouldNotCreateBuildConfigurationWithoutName","shouldNotCreateBuildConfigurationWithoutName",""
"passed","Mon Jun 03 20:54:43 GMT 2024","Mon Jun 03 20:54:43 GMT 2024","17","API Suite","API Test","com.example.teamcity.api.CreateProjectTest","com.example.teamcity.api.CreateProjectTest","shouldNotCreateProjectWithoutLocator","shouldNotCreateProjectWithoutLocator",""
"broken","Mon Jun 03 20:54:45 GMT 2024","Mon Jun 03 20:54:45 GMT 2024","51","API Suite","API Test","com.example.teamcity.api.CreateBuildConfigurationTest","com.example.teamcity.api.CreateBuildConfigurationTest","shouldNotCreateBuildConfigurationWithoutProjectId","shouldNotCreateBuildConfigurationWithoutProjectId",""
"broken","Mon Jun 03 20:54:44 GMT 2024","Mon Jun 03 20:54:44 GMT 2024","50","API Suite","API Test","com.example.teamcity.api.CreateBuildConfigurationTest","com.example.teamcity.api.CreateBuildConfigurationTest","createBuildConfigurationTest","createBuildConfigurationTest",""
"broken","Mon Jun 03 20:54:45 GMT 2024","Mon Jun 03 20:54:45 GMT 2024","24","API Suite","API Test","com.example.teamcity.api.CreateBuildConfigurationTest","com.example.teamcity.api.CreateBuildConfigurationTest","shouldNotCreateBuildConfigurationWithNotExistProjectId","shouldNotCreateBuildConfigurationWithNotExistProjectId",""
"broken","Mon Jun 03 20:54:47 GMT 2024","Mon Jun 03 20:54:47 GMT 2024","47","UI Suite","UI Test","com.example.teamcity.ui.CreateNewProjectTest","com.example.teamcity.ui.CreateNewProjectTest","authorizedUserShouldBeAbleCreateNewProjectFromRepositoryUrl","authorizedUserShouldBeAbleCreateNewProjectFromRepositoryUrl",""
"passed","Mon Jun 03 20:54:47 GMT 2024","Mon Jun 03 20:54:47 GMT 2024","50","UI Suite","UI Test","com.example.teamcity.ui.CreateNewProjectTest","com.example.teamcity.ui.CreateNewProjectTest","setAuthSettings","setAuthSettings",""
"passed","Mon Jun 03 20:54:42 GMT 2024","Mon Jun 03 20:54:43 GMT 2024","39","API Suite","API Test","com.example.teamcity.api.CreateProjectTest","com.example.teamcity.api.CreateProjectTest","shouldNotCreateProjectWithEmptyName","shouldNotCreateProjectWithEmptyName",""
"broken","Mon Jun 03 20:54:41 GMT 2024","Mon Jun 03 20:54:42 GMT 2024","785","API Suite","API Test","com.example.teamcity.api.CreateProjectTest","com.example.teamcity.api.CreateProjectTest","createProjectTest","createProjectTest",""
"passed","Mon Jun 03 20:54:40 GMT 2024","Mon Jun 03 20:54:41 GMT 2024","1754","API Suite","API Test","com.example.teamcity.api.CreateProjectTest","com.example.teamcity.api.CreateProjectTest","setAuthSettings","setAuthSettings",""
"broken","Mon Jun 03 20:54:44 GMT 2024","Mon Jun 03 20:54:44 GMT 2024","37","API Suite","API Test","com.example.teamcity.api.CreateBuildConfigurationTest","com.example.teamcity.api.CreateBuildConfigurationTest","shouldNotCreateBuildConfigurationWithExistId","shouldNotCreateBuildConfigurationWithExistId",""
"passed","Mon Jun 03 20:54:46 GMT 2024","Mon Jun 03 20:54:46 GMT 2024","40","UI Suite","UI Test","com.example.teamcity.ui.CreateNewBuildConfigurationTest","com.example.teamcity.ui.CreateNewBuildConfigurationTest","setAuthSettings","setAuthSettings",""
